1 1890  Note_on_c 0 61 80 
      
1 1920  Note_on_c 0 62 80 
1 1920  Note_on_c 0 57 80 
1 1979  Note_on_c 0 61 0 
1 2279  Note_on_c 0 62 0 
1 2279  Note_on_c 0 57 0 
1 2280  Note_on_c 0 62 80 
1 2280  Note_on_c 0 57 80 
1 2639  Note_on_c 0 62 0 
1 2639  Note_on_c 0 57 0 
1 2640  Note_on_c 0 60 80 
1 2640  Note_on_c 0 55 80 
1 2879  Note_on_c 0 60 0 
1 2879  Note_on_c 0 55 0 
1 2880  Note_on_c 0 62 80 
1 2880  Note_on_c 0 57 80 
1 3239  Note_on_c 0 62 0 
1 3239  Note_on_c 0 57 0 
1 3240  Note_on_c 0 62 80 
1 3240  Note_on_c 0 57 80 
1 3599  Note_on_c 0 62 0 
1 3599  Note_on_c 0 57 0 
1 3600  Note_on_c 0 60 80 
1 3600  Note_on_c 0 55 80 
1 3839  Note_on_c 0 60 0 
1 3839  Note_on_c 0 55 0 
1 3840  Note_on_c 0 62 80 
1 3840  Note_on_c 0 57 80 
1 3840  Note_on_c 0 65 80 
1 4199  Note_on_c 0 62 0 
1 4199  Note_on_c 0 57 0 
1 4200  Note_on_c 0 62 80 
1 4200  Note_on_c 0 57 80 
1 4559  Note_on_c 0 62 0 
1 4559  Note_on_c 0 57 0 
1 4560  Note_on_c 0 60 80 
1 4560  Note_on_c 0 55 80 
1 4799  Note_on_c 0 60 0 
1 4799  Note_on_c 0 55 0 
1 4800  Note_on_c 0 62 80 
1 4800  Note_on_c 0 57 80 
1 5279  Note_on_c 0 62 0 
1 5279  Note_on_c 0 57 0 
1 5279  Note_on_c 0 65 0 
1 5280  Note_on_c 0 62 80 
1 5280  Note_on_c 0 57 80 
1 5280  Note_on_c 0 67 80 
1 5759  Note_on_c 0 62 0 
1 5759  Note_on_c 0 57 0 
1 5759  Note_on_c 0 67 0 
1 5760  Note_on_c 0 62 80 
1 5760  Note_on_c 0 57 80 
1 5760  Note_on_c 0 69 80 
1 6119  Note_on_c 0 62 0 
1 6119  Note_on_c 0 57 0 
1 6120  Note_on_c 0 62 80 
1 6120  Note_on_c 0 57 80 
1 6479  Note_on_c 0 62 0 
1 6479  Note_on_c 0 57 0 
1 6480  Note_on_c 0 60 80 
1 6480  Note_on_c 0 55 80 
1 6719  Note_on_c 0 60 0 
1 6719  Note_on_c 0 55 0 
1 6719  Note_on_c 0 69 0 
1 6720  Note_on_c 0 62 80 
1 6720  Note_on_c 0 57 80 
1 7079  Note_on_c 0 62 0 
1 7079  Note_on_c 0 57 0 
1 7080  Note_on_c 0 62 80 
1 7080  Note_on_c 0 57 80 
1 7439  Note_on_c 0 62 0 
1 7439  Note_on_c 0 57 0 
1 7440  Note_on_c 0 60 80 
1 7440  Note_on_c 0 55 80 
1 7679  Note_on_c 0 60 0 
1 7679  Note_on_c 0 55 0 
1 7680  Note_on_c 0 62 80 
1 7680  Note_on_c 0 57 80 
1 8159  Note_on_c 0 62 0 
1 8159  Note_on_c 0 57 0 
1 8160  Note_on_c 0 65 80 
1 8160  Note_on_c 0 60 80 
1 8639  Note_on_c 0 65 0 
1 8639  Note_on_c 0 60 0 
1 8640  Note_on_c 0 67 80 
